x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m
-0.7748746; 3.4136195; 0.9334680; 0.9832464; -0.3403415; 0.9403019
-0.9181733; 3.3585144; 0.9229641; 0.9629885; -0.3779174; 0.9258393
-1.0583324; 3.2977436; 0.9419744; 0.9589409; -0.4180919; 0.9084047
-1.1947535; 3.2310370; 0.9807772; 0.9605854; -0.4608398; 0.8874833
-1.3268380; 3.1581244; 1.0061717; 0.9546490; -0.5060417; 0.8625090
-1.4539872; 3.0787355; 0.9898385; 0.9357457; -0.5534455; 0.8328854
-1.5756026; 2.9926002; 0.9419471; 0.9391981; -0.6026321; 0.7980192
-1.6910855; 2.8994483; 0.8900626; 0.9148817; -0.6529856; 0.7573703
-1.7998375; 2.7990095; 0.9236355; 0.8931373; -0.7036723; 0.7105246
-1.9012598; 2.6910136; 0.8762493; 0.8363841; -0.7536609; 0.6572634
-1.9947540; 2.5751905; 0.8427945; 0.8422095; -0.8017175; 0.5977032
-2.0797214; 2.4512699; 0.8043121; 0.8200982; -0.8466523; 0.5321465
-2.1555638; 2.3189838; 0.7921825; 0.8495270; -0.8868785; 0.4620026
-2.2217937; 2.1785896; 0.7686807; 0.8591487; -0.9200207; 0.3918697
-2.2781760; 2.0315472; 0.7703542; 0.8324186; -0.9458958; 0.3244706
-2.3245109; 1.8794839; 0.7727183; 0.7609427; -0.9659706; 0.2586520
-2.3605987; 1.7240271; 0.7866146; 0.7469477; -0.9810886; 0.1935590
-2.3862396; 1.5668041; 0.7466753; 0.7590019; -0.9917618; 0.1280959
-2.4012338; 1.4094422; 0.6892747; 0.7315104; -0.9981314; 0.0611041
-2.4053816; 1.2535688; 0.7747346; 0.7252654; -0.9999623; -0.0086794
-2.3984831; 1.1008113; 0.7816792; 0.7183208; -0.9965823; -0.0826060
-2.3803387; 0.9527969; 0.6997976; 0.7002024; -0.9867769; -0.1620845
-2.3507485; 0.8111531; 0.7439956; 0.6831251; -0.9686351; -0.2484875
-2.3095128; 0.6775071; 0.7740592; 0.6823322; -0.9393791; -0.3428804
-2.2564318; 0.5534863; 0.8439075; 0.6792925; -0.8951918; -0.4456810
-2.1913057; 0.4407181; 0.8774676; 0.6758519; -0.8315910; -0.5553886
-2.1139348; 0.3408298; 0.8594395; 0.6934147; -0.7430567; -0.6692285
-2.0241461; 0.2553814; 0.8132212; 0.6406150; -0.6312241; -0.7756005
-1.9223696; 0.1844215; 0.7767890; 0.6265697; -0.5128097; -0.8585023
-1.8096308; 0.1265060; 0.7556651; 0.5921506; -0.4030188; -0.9151917
-1.6869802; 0.0801278; 0.7376322; 0.6529960; -0.3074221; -0.9515732
-1.5554684; 0.0437795; 0.6852865; 0.6377554; -0.2285776; -0.9735257
-1.4161460; 0.0159540; 0.6827344; 0.6301529; -0.1660976; -0.9861093
-1.2700637; -0.0048560; 0.6552319; 0.6447681; -0.1185578; -0.9929472
-1.1182721; -0.0201578; 0.6648608; 0.6606277; -0.0842726; -0.9964427
-0.9618217; -0.0314587; 0.7484551; 0.6911497; -0.0617524; -0.9980915
-0.8017632; -0.0402658; 0.7697742; 0.7302258; -0.0498543; -0.9987565
-0.6391472; -0.0480865; 0.7619234; 0.7380766; -0.0478184; -0.9988560
-0.4750243; -0.0564281; 0.7536209; 0.7463791; -0.0552490; -0.9984726
-0.3104451; -0.0667977; 0.7431987; 0.7197410; -0.0720855; -0.9973985
-0.1464602; -0.0807026; 0.7293696; 0.6706304; -0.0985379; -0.9951333
