x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m
15.7682470; -8.2116784; 0.8182488; 0.7817512; -0.9995705; 0.0293064
15.7594152; -8.5168598; 0.8094658; 0.7905342; -0.9995973; 0.0283760
15.7510354; -8.8220788; 0.8010762; 0.7989238; -0.9996539; 0.0263058
15.7434316; -9.1272248; 0.7933936; 0.8066064; -0.9997246; 0.0234668
15.7366939; -9.4322063; 0.7913091; 0.8179697; -0.9997832; 0.0208196
15.7306757; -9.7369513; 0.7805321; 0.8194679; -0.9998242; 0.0187479
15.7252197; -10.0413886; 0.7752191; 0.8247809; -0.9998525; 0.0171767
15.7201689; -10.3454471; 0.8201904; 0.7798096; -0.9998700; 0.0161269
15.7153660; -10.6490557; 0.8153708; 0.7846292; -0.9998784; 0.0155946
15.7106538; -10.9521432; 0.8106773; 0.7893227; -0.9998786; 0.0155835
15.7058750; -11.2546386; 0.8206925; 0.8089032; -0.9998705; 0.0160959
15.7008725; -11.5564706; 0.8509008; 0.8490992; -0.9998532; 0.0171357
15.6954891; -11.8575682; 0.8454790; 0.8545210; -0.9998250; 0.0187065
15.6895676; -12.1578602; 0.8395591; 0.8604409; -0.9997833; 0.0208161
15.6829507; -12.4572755; 0.8329108; 0.8670892; -0.9997248; 0.0234603
15.6754813; -12.7557429; 0.8256754; 0.7743246; -0.9996440; 0.0266828
15.6670024; -13.0531916; 0.8171069; 0.7830223; -0.9995393; 0.0303505
15.6576250; -13.3498783; 0.8576260; 0.8423740; -0.9994822; 0.0321753
15.6482622; -13.6470395; 0.8481722; 0.8518278; -0.9995439; 0.0301977
15.6399760; -13.9460939; 0.8399530; 0.8600470; -0.9996970; 0.0246139
15.6338285; -14.2484601; 0.8337587; 0.8662413; -0.9998805; 0.0154601
15.6308817; -14.5555570; 0.8308808; 0.8691192; -0.9999942; 0.0033960
15.6321979; -14.8688031; 0.8321986; 0.8678014; -0.9999189; -0.0127340
15.6385819; -15.1893700; 0.8716649; 0.8945593; -0.9996980; -0.0245741
15.6454924; -15.5132893; 0.8954953; 0.8045047; -0.9999198; -0.0126647
15.6433395; -15.8317392; 0.8933278; 0.8066722; -0.9994954; 0.0317635
15.6223360; -16.1357080; 0.8726766; 0.7273234; -0.9934892; 0.1139259
15.5726946; -16.4161840; 0.8507386; 0.8036088; -0.9695111; 0.2450475
15.4846280; -16.6641554; 0.8619894; 0.8975023; -0.8997992; 0.4363042
15.3483491; -16.8706107; 0.7451667; 1.0201764; -0.7454380; 0.6665749
15.1579895; -17.0287185; 0.9034602; 1.0686322; -0.5289090; 0.8486785
14.9216950; -17.1394451; 0.9167772; 0.9393440; -0.3256460; 0.9454918
14.6507434; -17.2054991; 0.9273841; 0.9163967; -0.1539932; 0.9880719
14.3562848; -17.2299895; 0.9799495; 0.9200505; -0.0209095; 0.9997814
14.0474199; -17.2224665; 0.9724598; 0.9275402; 0.0598113; 0.9982097
13.7315944; -17.1976804; 0.9474751; 0.9525249; 0.0887477; 0.9960541
13.4161694; -17.1704565; 1.0206168; 0.9793832; 0.0778637; 0.9969640
13.1056008; -17.1499183; 0.9998720; 1.0001280; 0.0554969; 0.9984589
12.7994146; -17.1355149; 0.9854667; 1.0145333; 0.0389331; 0.9992418
12.4966587; -17.1257569; 0.9757605; 0.9242395; 0.0262888; 0.9996544
12.1963810; -17.1191548; 0.9692587; 0.9307413; 0.0184528; 0.9998297
11.8976294; -17.1142194; 0.9642557; 0.9357443; 0.0153821; 0.9998817
11.5994518; -17.1094613; 0.9594734; 0.9405266; 0.0174372; 0.9998480
11.3009708; -17.1035148; 0.9535252; 0.9464748; 0.0224885; 0.9997471
11.0019235; -17.0960313; 0.9456308; 0.9543692; 0.0274092; 0.9996243
10.7023488; -17.0871619; 0.9371585; 0.9628415; 0.0317007; 0.9994974
10.4022876; -17.0770613; 0.9270501; 0.9729499; 0.0354936; 0.9993699
10.1017809; -17.0658839; 0.9157676; 0.9842324; 0.0387587; 0.9992486
9.8008696; -17.0537844; 0.9037755; 0.9962245; 0.0415089; 0.9991381
9.4995948; -17.0409173; 0.9909451; 0.9090549; 0.0437454; 0.9990427
9.1979975; -17.0274372; 0.9775227; 0.9224773; 0.0454718; 0.9989656
8.8961186; -17.0134986; 0.9635639; 0.9364361; 0.0466906; 0.9989094
8.5939990; -16.9992562; 0.9492307; 0.9507693; 0.0474041; 0.9988758
8.2916799; -16.9848644; 0.9307341; 0.9611165; 0.0476127; 0.9988659
7.9892020; -16.9704780; 0.8931590; 0.9295042; 0.0473220; 0.9988797
7.6866065; -16.9562513; 0.9562641; 0.9437359; 0.0465152; 0.9989176
7.3839344; -16.9423375; 0.9923894; 0.9076106; 0.0452719; 0.9989747
7.0812323; -16.9288358; 0.9788395; 0.9211605; 0.0438401; 0.9990386
6.7785530; -16.9157792; 0.9657854; 0.9342146; 0.0423363; 0.9991034
6.4759499; -16.9031967; 0.9532189; 0.9467811; 0.0407392; 0.9991698
6.1734766; -16.8911172; 0.9411098; 0.9588902; 0.0390532; 0.9992371
5.8711863; -16.8795697; 0.9295423; 0.9704577; 0.0372757; 0.9993050
5.5691324; -16.8685832; 0.9185583; 0.9814417; 0.0354061; 0.9993730
5.2673684; -16.8581865; 0.8970658; 0.9807145; 0.0334430; 0.9994406
4.9659476; -16.8484087; 0.9483262; 0.9516738; 0.0313849; 0.9995074
4.6649235; -16.8392786; 0.9392671; 0.9607329; 0.0292304; 0.9995727
4.3643494; -16.8308253; 0.9307934; 0.9692066; 0.0269778; 0.9996360
4.0642787; -16.8230777; 1.0230864; 0.9769136; 0.0246264; 0.9996967
3.7647648; -16.8160648; 1.0160998; 0.9839002; 0.0221702; 0.9997542
3.4658610; -16.8098155; 0.9840559; 0.9641550; 0.0196229; 0.9998075
3.1674314; -16.8042170; 0.9542197; 0.9457803; 0.0183148; 0.9998323
2.8686286; -16.7986249; 0.9484169; 0.9515831; 0.0195223; 0.9998094
2.5684392; -16.7922704; 0.9922932; 0.9077068; 0.0232159; 0.9997305
2.2658492; -16.7843844; 0.9844119; 0.9155881; 0.0292433; 0.9995723
1.9598450; -16.7741980; 0.9742415; 0.9257585; 0.0377379; 0.9992877
1.6494130; -16.7609422; 0.9609835; 0.9390165; 0.0475278; 0.9988699
1.3337634; -16.7437204; 0.9436565; 0.9563435; 0.0634870; 0.9979827
1.0175105; -16.7185541; 0.9184103; 0.9815897; 0.0998758; 0.9949999
0.7108138; -16.6783028; 0.9286804; 0.8713196; 0.1658870; 0.9861448
0.4240858; -16.6156816; 0.8669393; 0.8343196; 0.2687230; 0.9632175
0.1677385; -16.5234060; 0.8232893; 0.9667341; 0.4182666; 0.9083243
-0.0478157; -16.3941912; 0.7880660; 1.0571785; 0.6183031; 0.7859397
-0.2121706; -16.2207574; 0.6935305; 0.9064695; 0.8236991; 0.5670271
-0.3197380; -15.9996717; 0.7325436; 0.7816320; 0.9480368; 0.3181607
-0.3783982; -15.7382568; 0.7785109; 0.7214891; 0.9910188; 0.1337229
-0.3983675; -15.4456999; 0.7983393; 0.7016607; 0.9999140; 0.0131146
-0.3898620; -15.1311885; 0.7898731; 0.7101269; 0.9982041; -0.0599054
-0.3630977; -14.8039103; 0.7630959; 0.7369041; 0.9951898; -0.0979652
-0.3282909; -14.4730525; 0.7281842; 0.7718158; 0.9943177; -0.1064536
-0.2956041; -14.1477514; 0.7955990; 0.8044010; 0.9959449; -0.0899655
-0.2710638; -13.8331753; 0.7477738; 0.7720513; 0.9977887; -0.0664654
-0.2536889; -13.5277698; 0.7537148; 0.7462852; 0.9988680; -0.0475675
-0.2418195; -13.2293298; 0.7418148; 0.7581852; 0.9994661; -0.0326715
-0.2337960; -12.9356499; 0.7083692; 0.7408375; 0.9997402; -0.0227934
-0.2279585; -12.6445250; 0.6779250; 0.7220750; 0.9998344; -0.0181956
-0.2226474; -12.3537499; 0.7727870; 0.7272130; 0.9998127; -0.0193521
-0.2163402; -12.0612999; 0.7663650; 0.7336350; 0.9997154; -0.0238555
-0.2086505; -11.7666422; 0.7586690; 0.7413310; 0.9996035; -0.0281569
-0.1997525; -11.4699809; 0.7497171; 0.7502829; 0.9994971; -0.0317097
-0.1898243; -11.1715250; 0.7398037; 0.7601963; 0.9993986; -0.0346766
-0.1790439; -10.8714838; 0.7790538; 0.7209462; 0.9993139; -0.0370363
-0.1675897; -10.5700663; 0.7677733; 0.7322267; 0.9992465; -0.0388132
-0.1556398; -10.2674818; 0.7556610; 0.7443390; 0.9991990; -0.0400159
-0.1433722; -9.9639393; 0.7433574; 0.7566426; 0.9991733; -0.0406539
-0.1309651; -9.6596480; 0.7309545; 0.7690455; 0.9991701; -0.0407329
-0.1185967; -9.3548170; 0.7185027; 0.7814973; 0.9991893; -0.0402577
-0.1064451; -9.0496554; 0.7564555; 0.7435445; 0.9992304; -0.0392260
-0.0946885; -8.7443725; 0.7595799; 0.7702201; 0.9992910; -0.0376502
-0.0835050; -8.4391774; 0.7335055; 0.7664945; 0.9993705; -0.0354764
-0.0730687; -8.1342775; 0.7731033; 0.7268967; 0.9994578; -0.0329263
-0.0633902; -7.8298169; 0.7635890; 0.7364110; 0.9995267; -0.0307617
-0.0542651; -7.5258557; 0.7542814; 0.7457186; 0.9995687; -0.0293656
-0.0454746; -7.2224484; 0.7454359; 0.7545641; 0.9995887; -0.0286775
-0.0367996; -6.9196496; 0.7367822; 0.7632178; 0.9995875; -0.0287184
-0.0280213; -6.6175138; 0.7606415; 0.7393585; 0.9995651; -0.0294882
-0.0189206; -6.3160956; 0.7689289; 0.7310711; 0.9995196; -0.0309934
-0.0092787; -6.0154494; 0.7592888; 0.7407112; 0.9994474; -0.0332398
0.0011234; -5.7156298; 0.7485258; 0.7514742; 0.9993433; -0.0362341
0.0125047; -5.4166912; 0.7374751; 0.7625249; 0.9992003; -0.0399834
0.0250840; -5.1186883; 0.7555036; 0.7444964; 0.9990096; -0.0444959
0.0390804; -4.8216756; 0.7653787; 0.7435486; 0.9987603; -0.0497790
0.0547128; -4.5257075; 0.7492068; 0.7590257; 0.9984395; -0.0558442
0.0722000; -4.2308386; 0.7482049; 0.7517951; 0.9980330; -0.0626910
0.0914015; -3.9368159; 0.7586253; 0.7413747; 0.9977860; -0.0665065
0.1107651; -3.6421797; 0.7392378; 0.7607622; 0.9979806; -0.0635198
0.1283921; -3.3451739; 0.7208987; 0.7776890; 0.9985459; -0.0539086
0.1423844; -3.0440429; 0.6659498; 0.7340502; 0.9992812; -0.0379096
0.1508433; -2.7370307; 0.6990847; 0.7009153; 0.9998638; -0.0165023
0.1518706; -2.4223815; 0.6981427; 0.7018573; 0.9999371; 0.0112145
0.1438149; -2.0985660; 0.7061930; 0.6938070; 0.9993519; 0.0359960
0.1309863; -1.7695176; 0.7190252; 0.6809748; 0.9993469; 0.0361365
0.1238127; -1.4447763; 0.7263342; 0.6736658; 0.9999970; 0.0024631
0.1330007; -1.1341375; 0.7672405; 0.6327595; 0.9975828; -0.0694872
0.1692572; -0.8473964; 0.7331218; 0.6701602; 0.9812892; -0.1925396
0.2432886; -0.5943484; 0.6528645; 0.7471355; 0.9234630; -0.3836874
