# x_m,y_m,w_tr_right_m,w_tr_left_m
4.0200,1.1900,0.7000,0.7000
4.0200,1.2400,0.7000,0.7000
4.0200,1.2900,0.7000,0.7000
4.0200,1.3400,0.7000,0.7000
4.0200,1.3900,0.7000,0.7000
4.0200,1.4400,0.7000,0.7000
4.0200,1.4900,0.7000,0.7000
4.0200,1.5400,0.7000,0.7000
3.9700,1.5900,0.6500,0.6500
3.9700,1.6400,0.6500,0.6500
3.9700,1.6900,0.6519,0.6519
3.9700,1.7400,0.6576,0.6576
3.9700,1.7900,0.6671,0.6671
3.9700,1.8400,0.6801,0.6801
3.9700,1.8900,0.6964,0.6964
3.9700,1.9400,0.7159,0.7159
3.9200,1.9900,0.6946,0.6946
3.9200,2.0400,0.7211,0.7211
3.9200,2.0900,0.7433,0.7433
3.9200,2.1400,0.7280,0.7280
3.9200,2.1900,0.7159,0.7159
3.8700,2.2400,0.7566,0.7566
3.8200,2.2900,0.7810,0.7810
3.8200,2.3400,0.7762,0.7762
3.7700,2.3900,0.8078,0.8078
3.7700,2.4400,0.7906,0.7906
3.7200,2.4900,0.8246,0.8246
3.6700,2.5400,0.8500,0.8500
3.6200,2.5900,0.8732,0.8732
3.6200,2.6400,0.8544,0.8544
3.5700,2.6900,0.8860,0.8860
3.5200,2.7400,0.9179,0.9179
3.5200,2.7900,0.8944,0.8944
3.4700,2.8400,0.9179,0.9179
3.4200,2.8400,0.9220,0.9220
3.3700,2.8900,0.9301,0.9301
3.3200,2.9400,0.9434,0.9434
3.2700,2.9900,0.9618,0.9618
3.2200,3.0400,0.9849,0.9849
3.1700,3.0400,0.9657,0.9657
3.1200,3.0900,0.9962,0.9962
3.0700,3.0900,0.9823,0.9823
3.0200,3.1400,1.0062,1.0062
2.9700,3.1900,1.0296,1.0296
2.9200,3.1900,1.0062,1.0062
2.8700,3.2400,1.0308,1.0308
2.8200,3.2400,1.0124,1.0124
2.7700,3.2900,1.0440,1.0440
2.7200,3.2900,1.0308,1.0308
2.6700,3.3400,1.0595,1.0595
2.6200,3.3400,1.0440,1.0440
2.5700,3.3900,1.0770,1.0770
2.5200,3.3900,1.0595,1.0595
2.4700,3.3900,1.0440,1.0440
2.4200,3.4400,1.0735,1.0735
2.3700,3.4400,1.0512,1.0512
2.3200,3.4900,1.0770,1.0770
2.2700,3.4900,1.0595,1.0595
2.2200,3.5400,1.0548,1.0548
2.1700,3.5400,1.0607,1.0607
2.1200,3.5400,1.0595,1.0595
2.0700,3.5400,1.0440,1.0440
2.0200,3.5900,1.0440,1.0440
1.9700,3.5900,1.0500,1.0500
1.9200,3.6400,1.0000,1.0000
1.8700,3.6400,1.0012,1.0012
1.8200,3.6400,1.0050,1.0050
1.7700,3.6400,1.0112,1.0112
1.7200,3.6400,1.0124,1.0124
1.6700,3.6400,0.9962,0.9962
1.6200,3.6400,0.9823,0.9823
1.5700,3.6400,0.9708,0.9708
1.5200,3.6400,0.9618,0.9618
1.4700,3.6400,0.9487,0.9487
1.4200,3.6900,0.9823,0.9823
1.3700,3.6900,0.9708,0.9708
1.3200,3.6900,0.9618,0.9618
1.2700,3.6900,0.9552,0.9552
1.2200,3.6900,0.9513,0.9513
1.1700,3.6900,0.9500,0.9500
1.1200,3.6900,0.9500,0.9500
1.0700,3.6900,0.9500,0.9500
1.0200,3.6900,0.9500,0.9500
0.9700,3.6900,0.9500,0.9500
0.9200,3.6900,0.9500,0.9500
0.8700,3.6900,0.9500,0.9500
0.8200,3.6900,0.9500,0.9500
0.7700,3.6900,0.9500,0.9500
0.7200,3.6900,0.9500,0.9500
0.6700,3.6900,0.9513,0.9513
0.6200,3.6900,0.9552,0.9552
0.5700,3.6900,0.9618,0.9618
0.5200,3.6900,0.9708,0.9708
0.4700,3.6400,0.9341,0.9341
0.4200,3.6400,0.9487,0.9487
0.3700,3.6400,0.9618,0.9618
0.3200,3.6400,0.9708,0.9708
0.2700,3.6400,0.9823,0.9823
0.2200,3.6400,0.9962,0.9962
0.1700,3.6400,1.0000,1.0000
0.1200,3.6400,1.0000,1.0000
0.0700,3.6400,1.0012,1.0012
0.0200,3.5900,0.9552,0.9552
-0.0300,3.5900,0.9618,0.9618
-0.0800,3.5900,0.9708,0.9708
-0.1300,3.5900,0.9823,0.9823
-0.1800,3.5400,0.9487,0.9487
-0.2300,3.5400,0.9657,0.9657
-0.2800,3.5400,0.9823,0.9823
-0.3300,3.4900,0.9487,0.9487
-0.3800,3.4900,0.9657,0.9657
-0.4300,3.4900,0.9823,0.9823
-0.4800,3.4900,0.9962,0.9962
-0.5300,3.4900,1.0050,1.0050
-0.5800,3.4900,1.0112,1.0112
-0.6300,3.4400,0.9708,0.9708
-0.6800,3.4400,0.9823,0.9823
-0.7300,3.3900,0.9487,0.9487
-0.7800,3.3900,0.9618,0.9618
-0.8300,3.3900,0.9708,0.9708
-0.8800,3.3400,0.9341,0.9341
-0.9300,3.3400,0.9487,0.9487
-0.9800,3.3400,0.9657,0.9657
-1.0300,3.2900,0.9394,0.9394
-1.0800,3.2900,0.9618,0.9618
-1.1300,3.2900,0.9849,0.9849
-1.1800,3.2400,0.9618,0.9618
-1.2300,3.2400,0.9849,0.9849
-1.2800,3.1900,0.9618,0.9618
-1.3300,3.1900,0.9849,0.9849
-1.3800,3.1400,0.9618,0.9618
-1.4300,3.1400,0.9708,0.9708
-1.4800,3.0900,0.9605,0.9605
-1.5300,3.0400,0.9552,0.9552
-1.5800,2.9900,0.9394,0.9394
-1.6300,2.9400,0.9179,0.9179
-1.6800,2.8900,0.9014,0.9014
-1.7300,2.8900,0.9192,0.9192
-1.7800,2.8400,0.9192,0.9192
-1.8300,2.7900,0.9014,0.9014
-1.8800,2.7400,0.8732,0.8732
-1.9300,2.6900,0.8500,0.8500
-1.9800,2.6400,0.8276,0.8276
-1.9800,2.5900,0.8500,0.8500
-2.0300,2.5400,0.8246,0.8246
-2.0300,2.4900,0.8382,0.8382
-2.0800,2.4400,0.8078,0.8078
-2.0800,2.3900,0.8276,0.8276
-2.1300,2.3400,0.8062,0.8062
-2.1300,2.2900,0.8276,0.8276
-2.1800,2.2400,0.8062,0.8062
-2.1800,2.1900,0.8246,0.8246
-2.1800,2.1400,0.8062,0.8062
-2.2300,2.0900,0.8078,0.8078
-2.2300,2.0400,0.8078,0.8078
-2.2800,1.9900,0.7906,0.7906
-2.2800,1.9400,0.8062,0.8062
-2.3300,1.8900,0.7649,0.7649
-2.3300,1.8400,0.7762,0.7762
-2.3300,1.7900,0.7906,0.7906
-2.3800,1.7400,0.7616,0.7616
-2.3800,1.6900,0.7826,0.7826
-2.3800,1.6400,0.7826,0.7826
-2.3800,1.5900,0.7616,0.7616
-2.3800,1.5400,0.7433,0.7433
-2.3800,1.4900,0.7280,0.7280
-2.3800,1.4400,0.7159,0.7159
-2.3800,1.3900,0.7071,0.7071
-2.4300,1.3400,0.7517,0.7517
-2.4300,1.2900,0.7500,0.7500
-2.4300,1.2400,0.7500,0.7500
-2.4300,1.1900,0.7500,0.7500
-2.4300,1.1400,0.7500,0.7500
-2.4300,1.0900,0.7500,0.7500
-2.4300,1.0400,0.7500,0.7500
-2.3800,0.9900,0.7000,0.7000
-2.3800,0.9400,0.7000,0.7000
-2.3800,0.8900,0.7018,0.7018
-2.3800,0.8400,0.7071,0.7071
-2.3800,0.7900,0.7159,0.7159
-2.3800,0.7400,0.7280,0.7280
-2.3800,0.6900,0.7433,0.7433
-2.3300,0.6400,0.7159,0.7159
